import time: self [us] | cumulative | imported package
import time:        64 |       4508 |                   html.entities
import time:       277 |        277 |                   cchardet
import time:       188 |        188 |                   chardet
import time:      3176 |       8148 |                 bs4.dammit
import time:      1315 |       9463 |               bs4.formatter
import time:       897 |        897 |               bs4._warnings
import time:      1205 |       1205 |               bs4.filter
import time:      4170 |      87735 |             bs4.element
import time:       672 |        672 |             bs4.exceptions
import time:      1704 |       1704 |                 _markupbase
import time:      4717 |       6420 |               html.parser
import time:      1582 |       8002 |             bs4.builder._htmlparser
import time:       288 |        288 |               html5lib
import time:      1387 |       1675 |             bs4.builder._html5lib
import time:       993 |        993 |               lxml
import time:      4828 |       4828 |                 lxml._elementpath
import time:      1647 |       1647 |                 gzip
import time:       284 |        284 |                 rnc2rng
import time:     14107 |      20866 |               lxml.etree
import time:      1336 |      23194 |             bs4.builder._lxml
import time:      2070 |     123344 |           bs4.builder
import time:      1730 |     125074 |         bs4
import time:      2954 |       2954 |             six
import time:      3782 |       6736 |           markdownify
import time:       933 |       7669 |         markitdown.converters._markdownify
import time:       902 |     133644 |       markitdown.converters._html_converter
import time:       390 |        390 |               xml.parsers
import time:       565 |        955 |             xml.parsers.expat
import time:      1222 |       2177 |           defusedxml.common
import time:       892 |       3069 |         defusedxml
import time:      1623 |       1623 |             xml.dom.expatbuilder
import time:       639 |       2262 |           defusedxml.expatbuilder
import time:       847 |        847 |             xml.dom.pulldom
import time:       857 |        857 |                 xml.sax.expatreader
import time:       590 |       1447 |               defusedxml.expatreader
import time:       456 |       1903 |             defusedxml.sax
import time:       508 |       3256 |           defusedxml.pulldom
import time:       500 |       6017 |         defusedxml.minidom
import time:       991 |      10076 |       markitdown.converters._rss_converter
import time:       612 |        612 |       markitdown.converters._wikipedia_converter
import time:       321 |        321 |         youtube_transcript_api
import time:       803 |       1123 |       markitdown.converters._youtube_converter
import time:       820 |        820 |         markitdown._exceptions
import time:       765 |       1585 |       markitdown.converters._ipynb_converter
import time:       679 |        679 |       markitdown.converters._bing_serp_converter
import time:       587 |        587 |             importlib.metadata._text
import time:       839 |       1426 |           importlib.metadata._adapters
import time:      4731 |       6156 |         pdfminer
import time:       619 |        619 |                 pdfminer.psexceptions
import time:       940 |       1559 |               pdfminer.pdfexceptions
import time:      1461 |       3019 |             pdfminer.utils
import time:      1152 |       1152 |               pdfminer.jbig2
import time:       369 |        369 |                     pdfminer.settings
import time:      2388 |       2756 |                   pdfminer.psparser
import time:       533 |       3289 |                 pdfminer.pdfcolor
import time:       566 |        566 |                   pdfminer.casting
import time:      5140 |       5140 |                       pdfminer.glyphlist
import time:     11975 |      11975 |                       pdfminer.latin_enc
import time:      1560 |      18674 |                     pdfminer.encodingdb
import time:      1686 |      20359 |                   pdfminer.cmapdb
import time:      2128 |       2128 |                   pdfminer.fontmetrics
import time:      1054 |       1054 |                     pdfminer.ascii85
import time:      4872 |       4872 |                       array
import time:      2366 |       7237 |                     pdfminer.ccitt
import time:       835 |        835 |                     pdfminer.lzw
import time:       570 |        570 |                     pdfminer.runlength
import time:      1675 |      11369 |                   pdfminer.pdftypes
import time:      2280 |      36701 |                 pdfminer.pdffont
import time:       762 |        762 |                               cryptography.__about__
import time:       905 |       1666 |                             cryptography
import time:       425 |       2090 |                           cryptography.hazmat
import time:      1570 |       3660 |                         cryptography.hazmat.backends
import time:       573 |        573 |                           cryptography.hazmat.primitives
import time:      1303 |       1303 |                             cryptography.utils
import time:       734 |       2036 |                           cryptography.hazmat.primitives._cipheralgorithm
import time:       397 |        397 |                               cryptography.hazmat.bindings
import time:      5944 |       5944 |                               _cffi_backend
import time:     14725 |      21065 |                             cryptography.hazmat.bindings._rust
import time:       633 |        633 |                               cryptography.exceptions
import time:       566 |        566 |                                   cryptography.hazmat.decrepit
import time:       718 |       1284 |                                 cryptography.hazmat.decrepit.ciphers
import time:      1266 |       1266 |                                 cryptography.hazmat.primitives._modes
import time:       715 |       3265 |                               cryptography.hazmat.decrepit.ciphers.modes
import time:      1312 |       1312 |                                 cryptography.hazmat.decrepit.ciphers.algorithms
import time:      1122 |       2433 |                               cryptography.hazmat.primitives.ciphers.algorithms
import time:      1062 |       7392 |                             cryptography.hazmat.primitives.ciphers.modes
import time:      1532 |      29988 |                           cryptography.hazmat.primitives.ciphers.base
import time:      1076 |      33672 |                         cryptography.hazmat.primitives.ciphers
